question_id,split,question_type,scenario,answer_changed,numeric_changed,entity_rank_or_direction_changed,interpretation_changed,changed_fields,historical_gold,scenario_answer
q_0001,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-01"", ""month_label"": ""January 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 26611.16, ""currency"": ""GBP""}","{""year_month"": ""2011-01"", ""month_label"": ""January 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 26611.16, ""currency"": ""GBP""}"
q_0002,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-02"", ""month_label"": ""February 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 22932.11, ""currency"": ""GBP""}","{""year_month"": ""2011-02"", ""month_label"": ""February 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 22932.11, ""currency"": ""GBP""}"
q_0003,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-03"", ""month_label"": ""March 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 22416.49, ""currency"": ""GBP""}","{""year_month"": ""2011-03"", ""month_label"": ""March 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 22416.49, ""currency"": ""GBP""}"
q_0004,dev,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-04"", ""month_label"": ""April 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Germany"", ""net_revenue"": 11963.37, ""currency"": ""GBP""}","{""year_month"": ""2011-04"", ""month_label"": ""April 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Germany"", ""net_revenue"": 11963.37, ""currency"": ""GBP""}"
q_0005,test,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-05"", ""month_label"": ""May 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 29185.88, ""currency"": ""GBP""}","{""year_month"": ""2011-05"", ""month_label"": ""May 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 29185.88, ""currency"": ""GBP""}"
q_0006,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-06"", ""month_label"": ""June 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 26843.09, ""currency"": ""GBP""}","{""year_month"": ""2011-06"", ""month_label"": ""June 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 26843.09, ""currency"": ""GBP""}"
q_0007,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-07"", ""month_label"": ""July 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""EIRE"", ""net_revenue"": 42689.65, ""currency"": ""GBP""}","{""year_month"": ""2011-07"", ""month_label"": ""July 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""EIRE"", ""net_revenue"": 42689.65, ""currency"": ""GBP""}"
q_0008,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-08"", ""month_label"": ""August 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 39655.81, ""currency"": ""GBP""}","{""year_month"": ""2011-08"", ""month_label"": ""August 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 39655.81, ""currency"": ""GBP""}"
q_0009,dev,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-09"", ""month_label"": ""September 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""EIRE"", ""net_revenue"": 42476.2, ""currency"": ""GBP""}","{""year_month"": ""2011-09"", ""month_label"": ""September 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""EIRE"", ""net_revenue"": 42476.2, ""currency"": ""GBP""}"
q_0010,test,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-10"", ""month_label"": ""October 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 40708.65, ""currency"": ""GBP""}","{""year_month"": ""2011-10"", ""month_label"": ""October 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""Netherlands"", ""net_revenue"": 40708.65, ""currency"": ""GBP""}"
q_0011,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-11"", ""month_label"": ""November 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""France"", ""net_revenue"": 30638.12, ""currency"": ""GBP""}","{""year_month"": ""2011-11"", ""month_label"": ""November 2011"", ""scope"": ""excluding United Kingdom"", ""country"": ""France"", ""net_revenue"": 30638.12, ""currency"": ""GBP""}"
q_0012,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-01"", ""month_label"": ""January 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 432995.4, ""currency"": ""GBP""}","{""year_month"": ""2011-01"", ""month_label"": ""January 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 432995.4, ""currency"": ""GBP""}"
q_0013,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-03"", ""month_label"": ""March 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 558458.89, ""currency"": ""GBP""}","{""year_month"": ""2011-03"", ""month_label"": ""March 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 558458.89, ""currency"": ""GBP""}"
q_0014,dev,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-06"", ""month_label"": ""June 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 553330.21, ""currency"": ""GBP""}","{""year_month"": ""2011-06"", ""month_label"": ""June 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 553330.21, ""currency"": ""GBP""}"
q_0015,test,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-09"", ""month_label"": ""September 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 860104.36, ""currency"": ""GBP""}","{""year_month"": ""2011-09"", ""month_label"": ""September 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 860104.36, ""currency"": ""GBP""}"
q_0016,train,top_country_month,wording_only,False,False,False,True,[],"{""year_month"": ""2011-11"", ""month_label"": ""November 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 1277409.79, ""currency"": ""GBP""}","{""year_month"": ""2011-11"", ""month_label"": ""November 2011"", ""scope"": ""all countries"", ""country"": ""United Kingdom"", ""net_revenue"": 1277409.79, ""currency"": ""GBP""}"
