baseline,actual,predicted,count
mean_spilled_energy_abs_delta,positive,positive,69
mean_spilled_energy_abs_delta,positive,negative,0
mean_spilled_energy_abs_delta,negative,positive,66
mean_spilled_energy_abs_delta,negative,negative,0
max_spilled_energy_abs_delta,positive,positive,69
max_spilled_energy_abs_delta,positive,negative,0
max_spilled_energy_abs_delta,negative,positive,66
max_spilled_energy_abs_delta,negative,negative,0
mean_spilled_energy_delta,positive,positive,69
mean_spilled_energy_delta,positive,negative,0
mean_spilled_energy_delta,negative,positive,66
mean_spilled_energy_delta,negative,negative,0
negative_mean_spilled_energy_delta,positive,positive,69
negative_mean_spilled_energy_delta,positive,negative,0
negative_mean_spilled_energy_delta,negative,positive,63
negative_mean_spilled_energy_delta,negative,negative,3
mean_spilled_probability_mass_after_top1,positive,positive,57
mean_spilled_probability_mass_after_top1,positive,negative,12
mean_spilled_probability_mass_after_top1,negative,positive,39
mean_spilled_probability_mass_after_top1,negative,negative,27
mean_spilled_probability_mass_after_top2,positive,positive,69
mean_spilled_probability_mass_after_top2,positive,negative,0
mean_spilled_probability_mass_after_top2,negative,positive,66
mean_spilled_probability_mass_after_top2,negative,negative,0
max_selected_step_energy_gap,positive,positive,57
max_selected_step_energy_gap,positive,negative,12
max_selected_step_energy_gap,negative,positive,39
max_selected_step_energy_gap,negative,negative,27
