baseline,actual,predicted,count
mean_token_nll,positive,positive,57
mean_token_nll,positive,negative,12
mean_token_nll,negative,positive,39
mean_token_nll,negative,negative,27
mean_token_entropy,positive,positive,57
mean_token_entropy,positive,negative,12
mean_token_entropy,negative,positive,39
mean_token_entropy,negative,negative,27
max_token_entropy,positive,positive,57
max_token_entropy,positive,negative,12
max_token_entropy,negative,positive,39
max_token_entropy,negative,negative,27
one_minus_mean_top2_margin,positive,positive,57
one_minus_mean_top2_margin,positive,negative,12
one_minus_mean_top2_margin,negative,positive,39
one_minus_mean_top2_margin,negative,negative,27
one_minus_min_top2_margin,positive,positive,56
one_minus_min_top2_margin,positive,negative,13
one_minus_min_top2_margin,negative,positive,37
one_minus_min_top2_margin,negative,negative,29
