family,baseline_role,baseline,score_group,score_field,threshold,score,score_margin,error_type,actual_class,predicted_class,annotation_id,question_id,prompt_id,split,question_type,difficulty,fact_type,label,binary_label,span_text,token_count,question,gold_short_answer,annotation_reason,annotation_confidence,annotation_notes,gold_reference,generated_excerpt,generated_text,evidence_table_markdown
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.000881,-0.333452,false_negative,positive,negative,ann_full100_seed_q_0005_003,q_0005,p_0005,test,top_country_month,medium,country,hallucinated_key_fact,1,Spain,1,"Which country had the highest net revenue in May 2011, excluding the United Kingdom?","Netherlands had the highest net revenue in May 2011 (excluding United Kingdom) at GBP 29,185.88.","Generated repeats Spain as the answer country, but the gold top country is Netherlands.",high,seed_batch_draft; wrong_answer_entity; repeated_mention; human_review_required,"{""fact_type"": ""country"", ""field"": ""country"", ""gold_display_value"": ""Netherlands"", ""gold_value"": ""Netherlands"", ""tolerance"": ""exact_normalized_match""}","...try with the highest net revenue in May 2011, excluding the United Kingdom, is **Spain**. The net revenue for [[Spain]] was **GBP 3257.60**, which is the highest among the listed countries.","The country with the highest net revenue in May 2011, excluding the United Kingdom, is **Spain**. The net revenue for Spain was **GBP 3257.60**, which is the highest among the listed countries.","| country | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| Australia | 13628.51 | 13638.41 | -9.90 | 5 |
| EIRE | 17916.31 | 18003.72 | -87.41 | 27 |
| France | 17518.68 | 17606.48 | -87.80 | 43 |
| Germany | 25554.85 | 25734.70 | -179.85 | 52 |
| Netherlands | 29185.88 | 29185.88 | 0.00 | 11 |
| Spain | 3257.60 | 3257.60 | 0.00 | 4 |
| Switzerland | 3567.21 | 3610.01 | -42.80 | 4 |
| United Kingdom | 595250.39 | 638104.89 | -42854.50 | 1806 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.02272,-0.311613,false_negative,positive,negative,ann_full100_draft_q_0034_002,q_0034,p_0034,test,country_comparison_month,medium,comparison_direction,hallucinated_key_fact,1,generated more net revenue,4,"In May 2011, did Germany or France generate more net revenue, and by how much?","Germany generated more net revenue than France by GBP 8,036.17 in May 2011.","The local predicate assigns the higher-revenue relationship to France, but Germany generated more net revenue.",high,draft_round1; direction_mismatch; predicate_follows_france,"{""fact_type"": ""comparison_direction"", ""field"": ""higher_country"", ""gold_display_value"": ""Germany generated more than France"", ""gold_value"": ""Germany > France""}","France [[generated more net revenue]] (17518.68 GBP) than Germany (25554.85 GBP), with France earning an additional net revenue of -87.80 GBP. The ...","France generated more net revenue (17518.68 GBP) than Germany (25554.85 GBP), with France earning an additional net revenue of -87.80 GBP. The Netherlands and United Kingdom have the lowest net revenues.","| country | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| France | 17518.68 | 17606.48 | -87.80 | 43 |
| Germany | 25554.85 | 25734.70 | -179.85 | 52 |
| Netherlands | 29185.88 | 29185.88 | 0.00 | 11 |
| United Kingdom | 595250.39 | 638104.89 | -42854.50 | 1806 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.492771,0.158438,false_positive,negative,positive,ann_full100_draft_q_0034_003,q_0034,p_0034,test,country_comparison_month,medium,currency_amount,correct_key_fact,0,17518.68 GBP,9,"In May 2011, did Germany or France generate more net revenue, and by how much?","Germany generated more net revenue than France by GBP 8,036.17 in May 2011.","Generated France net revenue matches the gold France net revenue of GBP 17,518.68.",high,draft_round1; correct_france_amount,"{""fact_type"": ""currency_amount"", ""field"": ""country_b_net_revenue"", ""gold_display_value"": ""GBP 17,518.68"", ""gold_value"": 17518.68, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","France generated more net revenue ([[17518.68 GBP]]) than Germany (25554.85 GBP), with France earning an additional net revenue of -87.80 GBP. The Netherlands an...","France generated more net revenue (17518.68 GBP) than Germany (25554.85 GBP), with France earning an additional net revenue of -87.80 GBP. The Netherlands and United Kingdom have the lowest net revenues.","| country | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| France | 17518.68 | 17606.48 | -87.80 | 43 |
| Germany | 25554.85 | 25734.70 | -179.85 | 52 |
| Netherlands | 29185.88 | 29185.88 | 0.00 | 11 |
| United Kingdom | 595250.39 | 638104.89 | -42854.50 | 1806 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.240566,-0.093767,false_negative,positive,negative,ann_full100_draft_q_0059_007,q_0059,p_0059,test,monthly_revenue_change,hard,currency_amount,hallucinated_key_fact,1,"38,677.67 GBP",10,How did net revenue change from October 2011 to November 2011? Provide the absolute change and percentage change.,"Net revenue increased by GBP 386,777.57 (36.17%) from October 2011 to November 2011.","Generated absolute change is off by about a factor of ten; gold value is GBP 386,777.57.",high,draft_round1; wrong_absolute_change,"{""fact_type"": ""currency_amount"", ""field"": ""absolute_change"", ""gold_display_value"": ""GBP 386,777.57"", ""gold_value"": 386777.57, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","...4.50 GBP, which represents a **29.75%** increase from October 2011's 106,936.83 GBP. The absolute change is **[[38,677.67 GBP]]**, and the percentage change is calculated by dividing the absolute change by the previous month's net revenu...","The net revenue for November 2011 was 145,614.50 GBP, which represents a **29.75%** increase from October 2011's 106,936.83 GBP. The absolute change is **38,677.67 GBP**, and the percentage change is calculated by dividing the absolute change by the previous month's net revenue.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-10 | 1069368.23 | 1151263.73 | -81895.50 | 2402 |
| 2011-11 | 1456145.80 | 1503866.78 | -47720.98 | 3210 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.135446,-0.198887,false_negative,positive,negative,ann_full100_draft_q_0077_006,q_0077,p_0077,test,product_revenue_share_month,hard,percentage,hallucinated_key_fact,1,11.78%,6,What percentage of merchandise net revenue in May 2011 came from the top product?,"In May 2011, the top product (47566 - PARTY BUNTING) contributed GBP 19,093.30 out of GBP 731,051.91, or 2.61% of merchandise net revenue.",Generated repeats the wrong share percentage; gold share is 2.61%.,high,draft_round1; wrong_share_percent; repeated_result_claim,"{""fact_type"": ""percentage"", ""field"": ""share_percent"", ""gold_display_value"": ""2.61%"", ""gold_value"": 2.61, ""tolerance"": {""percentage_points"": 0.5}}","...top product (GBP 11,172.17) by the total merchandise net revenue (GBP 731,051.91), resulting in approximately [[11.78%]].","The percentage of merchandise net revenue in May 2011 from the top product (WHITE HANGING HEART T-LIGHT HOLDER) is **11.78%**. This is calculated by dividing the net revenue of the top product (GBP 11,172.17) by the total merchandise net revenue (GBP 731,051.91), resulting in approximately 11.78%.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 11172.17 | 11216.42 | -44.25 |
| 23284 | DOORMAT KEEP CALM AND COME IN | 5952.26 | 5952.26 | 0.00 |
| 85099B | JUMBO BAG RED RETROSPOT | 7114.70 | 7122.73 | -8.03 |
| 22197 | SMALL POPCORN HOLDER | 5143.98 | 5144.83 | -0.85 |
| 47566 | PARTY BUNTING | 19093.30 | 19118.05 | -24.75 |
| 22423 | REGENCY CAKESTAND 3 TIER | 12217.27 | 12645.97 | -428.70 |
| 23298 | SPOTTY BUNTING | 7513.92 | 7687.17 | -173.25 |
| 22501 | PICNIC BASKET WICKER LARGE | 5268.14 | 5832.04 | -563.90 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.910483,0.57615,false_positive,negative,positive,ann_full100_draft_q_0093_002,q_0093,p_0093,test,return_impact_month,hard,currency_amount,correct_key_fact,0,"£44,600.65",10,"In April 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","Cancellations and returns reduced gross positive revenue by GBP 44,600.65 (8.31% of gross), leaving net revenue of GBP 492,367.84.","Generated reduction amount matches GBP 44,600.65; the pound symbol is treated as GBP-compatible in this context.",high,draft_round1; correct_reduction_amount; pound_symbol_for_gbp,"{""fact_type"": ""currency_amount"", ""field"": ""reduction_amount"", ""gold_display_value"": ""GBP 44,600.65"", ""gold_value"": 44600.65, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","In April 2011, cancellations and returns reduced gross positive revenue by [[£44,600.65]], resulting in a final net revenue of £44,600.65.","In April 2011, cancellations and returns reduced gross positive revenue by £44,600.65, resulting in a final net revenue of £44,600.65.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-04 | 492367.84 | 536968.49 | -44600.65 | 1486 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.969707,0.635374,false_positive,negative,positive,ann_full100_draft_q_0054_005,q_0054,p_0054,test,monthly_revenue_change,hard,percentage,correct_key_fact,0,-4.14%,6,How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,"Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",Generated percentage change is within tolerance of -4.45%.,high,draft_round2; correct_percent_change; first_result_claim,"{""fact_type"": ""percentage"", ""field"": ""percent_change"", ""gold_display_value"": ""-4.45%"", ""gold_value"": -4.45, ""tolerance"": {""percentage_points"": 0.5}}","From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **[[-4.14%]]** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","| year_month | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp | invoice_count |
| --- | --- | --- | --- | --- |
| 2011-05 | 722094.10 | 769296.61 | -47202.51 | 1995 |
| 2011-06 | 689977.23 | 760547.01 | -70569.78 | 1862 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.296409,-0.037924,false_negative,positive,negative,ann_full100_draft_q_0026_003,q_0026,p_0026,test,top_product_month,medium,product_stock_code,hallucinated_key_fact,1,85099B,6,"Which product had the highest merchandise net revenue in September 2011? Provide the stock code, product name, and net revenue.","23243 (SET OF TEA COFFEE SUGAR TINS PANTRY) had the highest merchandise net revenue in September 2011 at GBP 9,971.51.",Generated top product stock code is wrong; gold stock code is 23243.,high,draft_round3; wrong_top_product,"{""fact_type"": ""product_stock_code"", ""field"": ""stock_code"", ""gold_display_value"": ""23243"", ""gold_value"": ""23243"", ""tolerance"": ""exact_normalized_match""}","...the highest merchandise net revenue in September 2011 was the **JUMBO BAG RED RETROSPOT** with a stock code **[[85099B]]**, a product name, and a net revenue of **GBP 8630.45**. This product had a gross positive revenue of **GBP 8...","The product with the highest merchandise net revenue in September 2011 was the **JUMBO BAG RED RETROSPOT** with a stock code **85099B**, a product name, and a net revenue of **GBP 8630.45**. This product had a gross positive revenue of **GBP 8880.17** and a cancellation/return revenue of **-249.72**, resulting in a net revenue of **GBP 8630.45**.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.005092,-0.329241,false_negative,positive,negative,ann_full100_draft_q_0026_005,q_0026,p_0026,test,top_product_month,medium,currency_amount,hallucinated_key_fact,1,GBP 8880.17,9,"Which product had the highest merchandise net revenue in September 2011? Provide the stock code, product name, and net revenue.","23243 (SET OF TEA COFFEE SUGAR TINS PANTRY) had the highest merchandise net revenue in September 2011 at GBP 9,971.51.","Generated gross-positive revenue is for the wrong product; gold top-product gross-positive revenue is GBP 9,981.41.",high,draft_round3; wrong_top_product_supporting_amount; gross_positive_revenue,"{""fact_type"": ""currency_amount"", ""field"": ""top_product_gross_positive_revenue"", ""gold_display_value"": ""GBP 9,981.41"", ""gold_value"": 9981.41, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","...5099B**, a product name, and a net revenue of **GBP 8630.45**. This product had a gross positive revenue of **[[GBP 8880.17]]** and a cancellation/return revenue of **-249.72**, resulting in a net revenue of **GBP 8630.45**.","The product with the highest merchandise net revenue in September 2011 was the **JUMBO BAG RED RETROSPOT** with a stock code **85099B**, a product name, and a net revenue of **GBP 8630.45**. This product had a gross positive revenue of **GBP 8880.17** and a cancellation/return revenue of **-249.72**, resulting in a net revenue of **GBP 8630.45**.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |"
simple,simple_best_test_auprc,one_minus_min_top2_margin,simple_uncertainty,one_minus_min_top2_margin,0.334333,0.303282,-0.031051,false_negative,positive,negative,ann_full100_draft_q_0026_006,q_0026,p_0026,test,top_product_month,medium,currency_amount,hallucinated_key_fact,1,-249.72,7,"Which product had the highest merchandise net revenue in September 2011? Provide the stock code, product name, and net revenue.","23243 (SET OF TEA COFFEE SUGAR TINS PANTRY) had the highest merchandise net revenue in September 2011 at GBP 9,971.51.",Generated cancellation-return revenue is for the wrong product; gold top-product cancellation-return revenue is GBP -9.90.,high,draft_round3; wrong_top_product_supporting_amount; cancellation_return_revenue,"{""fact_type"": ""currency_amount"", ""field"": ""top_product_cancellation_return_revenue"", ""gold_display_value"": ""GBP -9.90"", ""gold_value"": -9.9, ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","...630.45**. This product had a gross positive revenue of **GBP 8880.17** and a cancellation/return revenue of **[[-249.72]]**, resulting in a net revenue of **GBP 8630.45**.","The product with the highest merchandise net revenue in September 2011 was the **JUMBO BAG RED RETROSPOT** with a stock code **85099B**, a product name, and a net revenue of **GBP 8630.45**. This product had a gross positive revenue of **GBP 8880.17** and a cancellation/return revenue of **-249.72**, resulting in a net revenue of **GBP 8630.45**.","| stock_code | product_name | net_revenue_gbp | gross_positive_revenue_gbp | cancellation_return_revenue_gbp |
| --- | --- | --- | --- | --- |
| 22720 | SET OF 3 CAKE TINS PANTRY DESIGN | 6250.48 | 6285.13 | -34.65 |
| 47566 | PARTY BUNTING | 6113.70 | 6383.15 | -269.45 |
| 23355 | HOT WATER BOTTLE KEEP CALM | 6229.79 | 6254.54 | -24.75 |
| 85099B | JUMBO BAG RED RETROSPOT | 8630.45 | 8880.17 | -249.72 |
| 22086 | PAPER CHAIN KIT 50'S CHRISTMAS | 5997.25 | 5997.25 | 0.00 |
| 85123A | WHITE HANGING HEART T-LIGHT HOLDER | 6880.76 | 6945.66 | -64.90 |
| 23243 | SET OF TEA COFFEE SUGAR TINS PANTRY | 9971.51 | 9981.41 | -9.90 |
| 22423 | REGENCY CAKESTAND 3 TIER | 9315.03 | 9619.53 | -304.50 |"
