family,baseline,score_field,score_group,threshold,dev_f1,dev_precision,dev_recall,dev_specificity,test_auprc,test_auroc,test_f1,test_precision,test_recall,test_specificity,test_accuracy,test_tp,test_fp,test_tn,test_fn,test_positive_count,test_negative_count,all_positive_like,threshold_source_split,selection_policy,description
simple,max_token_entropy,max_token_entropy,simple_uncertainty,0.466101,0.758621,0.8,0.721311,0.731707,0.805341,0.745121,0.745763,0.77193,0.721311,0.690476,0.708738,44,13,29,17,61,42,false,dev,threshold_selected_on_dev_split_max_f1,Higher maximum token entropy catches one uncertain token inside a span.
simple,mean_token_entropy,mean_token_entropy,simple_uncertainty,0.004817,0.763359,0.714286,0.819672,0.512195,0.809474,0.736144,0.779412,0.706667,0.868852,0.47619,0.708738,53,22,20,8,61,42,false,dev,threshold_selected_on_dev_split_max_f1,Higher mean token entropy indicates more uncertainty.
simple,mean_token_nll,mean_token_nll,simple_uncertainty,0.037151,0.778761,0.846154,0.721311,0.804878,0.831905,0.755464,0.741379,0.781818,0.704918,0.714286,0.708738,43,12,30,18,61,42,false,dev,threshold_selected_on_dev_split_max_f1,Higher mean token negative log probability indicates more uncertainty.
simple,one_minus_mean_top2_margin,one_minus_mean_top2_margin,simple_uncertainty,0.061265,0.785714,0.862745,0.721311,0.829268,0.823891,0.746292,0.719298,0.773585,0.672131,0.714286,0.68932,41,12,30,20,61,42,false,dev,threshold_selected_on_dev_split_max_f1,Higher value means lower average top-2 margin across the span.
simple,one_minus_min_top2_margin,one_minus_min_top2_margin,simple_uncertainty,0.334333,0.767857,0.843137,0.704918,0.804878,0.835073,0.756831,0.752294,0.854167,0.672131,0.833333,0.737864,41,7,35,20,61,42,false,dev,threshold_selected_on_dev_split_max_f1,Higher value means at least one token has a low top-2 margin.
energy,max_selected_step_energy_gap,max_selected_step_energy_gap,same_step_nll_control,0.195013,0.767857,0.843137,0.704918,0.804878,0.830394,0.759173,0.738739,0.82,0.672131,0.785714,0.718447,41,9,33,20,61,42,false,dev,threshold_selected_on_dev_split_max_f1,Maximum same-step selected-token energy gap; equivalent to a max token NLL control.
energy,max_spilled_energy_abs_delta,max_spilled_energy_abs_delta,pure_adjacent_step_abs_energy,0.793505,0.753086,0.60396,1.0,0.02439,0.548108,0.368462,0.7375,0.59596,0.967213,0.047619,0.592233,59,40,2,2,61,42,true,dev,threshold_selected_on_dev_split_max_f1,Higher maximum adjacent-step energy mismatch catches one inconsistent token inside a span.
energy,mean_spilled_energy_abs_delta,mean_spilled_energy_abs_delta,pure_adjacent_step_abs_energy,0.793505,0.753086,0.60396,1.0,0.02439,0.587658,0.41452,0.7375,0.59596,0.967213,0.047619,0.592233,59,40,2,2,61,42,true,dev,threshold_selected_on_dev_split_max_f1,Higher mean adjacent-step energy mismatch indicates more inconsistency.
energy,mean_spilled_energy_delta,mean_spilled_energy_delta,pure_adjacent_step_signed_energy,-2.396714,0.748466,0.598039,1.0,0.0,0.718953,0.598751,0.743902,0.592233,1.0,0.0,0.592233,61,42,0,0,61,42,true,dev,threshold_selected_on_dev_split_max_f1,Signed Spilled Energy delta averaged over the span.
energy,mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top1,probability_mass_control,0.038461,0.774775,0.86,0.704918,0.829268,0.821143,0.744145,0.732143,0.803922,0.672131,0.761905,0.708738,41,10,32,20,61,42,false,dev,threshold_selected_on_dev_split_max_f1,Higher non-top1 probability mass indicates a less concentrated token distribution.
energy,mean_spilled_probability_mass_after_top2,mean_spilled_probability_mass_after_top2,probability_mass_control,0.000225,0.775194,0.735294,0.819672,0.560976,0.807697,0.727557,0.772727,0.71831,0.836066,0.52381,0.708738,51,20,22,10,61,42,false,dev,threshold_selected_on_dev_split_max_f1,Higher probability mass outside the top two choices indicates diffuse token uncertainty.
energy,negative_mean_spilled_energy_delta,negative_mean_spilled_energy_delta,pure_adjacent_step_signed_energy,-5.590794,0.748466,0.598039,1.0,0.0,0.575688,0.401249,0.743902,0.592233,1.0,0.0,0.592233,61,42,0,0,61,42,true,dev,threshold_selected_on_dev_split_max_f1,Opposite direction of signed Spilled Energy delta for direction-sensitivity checks.
