baseline,score_field,evaluated_split,threshold_source_split,threshold,threshold_rule,precision,recall,specificity,f1,accuracy,auroc,auprc,tp,fp,tn,fn,positive_count,negative_count,selection_policy,description
mean_spilled_energy_abs_delta,mean_spilled_energy_abs_delta,dev,dev,0.793505,predict_positive_if_score_gte_threshold,0.60396,1.0,0.02439,0.753086,0.607843,0.359456,0.585541,61,40,1,0,61,41,threshold_selected_on_dev_split_max_f1,Higher mean adjacent-step energy mismatch indicates more inconsistency.
mean_spilled_energy_abs_delta,mean_spilled_energy_abs_delta,test,dev,0.793505,predict_positive_if_score_gte_threshold,0.59596,0.967213,0.047619,0.7375,0.592233,0.41452,0.587658,59,40,2,2,61,42,threshold_selected_on_dev_split_max_f1,Higher mean adjacent-step energy mismatch indicates more inconsistency.
max_spilled_energy_abs_delta,max_spilled_energy_abs_delta,dev,dev,0.793505,predict_positive_if_score_gte_threshold,0.60396,1.0,0.02439,0.753086,0.607843,0.359056,0.540286,61,40,1,0,61,41,threshold_selected_on_dev_split_max_f1,Higher maximum adjacent-step energy mismatch catches one inconsistent token inside a span.
max_spilled_energy_abs_delta,max_spilled_energy_abs_delta,test,dev,0.793505,predict_positive_if_score_gte_threshold,0.59596,0.967213,0.047619,0.7375,0.592233,0.368462,0.548108,59,40,2,2,61,42,threshold_selected_on_dev_split_max_f1,Higher maximum adjacent-step energy mismatch catches one inconsistent token inside a span.
mean_spilled_energy_delta,mean_spilled_energy_delta,dev,dev,-2.396714,predict_positive_if_score_gte_threshold,0.598039,1.0,0.0,0.748466,0.598039,0.632147,0.770512,61,41,0,0,61,41,threshold_selected_on_dev_split_max_f1,Signed Spilled Energy delta averaged over the span.
mean_spilled_energy_delta,mean_spilled_energy_delta,test,dev,-2.396714,predict_positive_if_score_gte_threshold,0.592233,1.0,0.0,0.743902,0.592233,0.598751,0.718953,61,42,0,0,61,42,threshold_selected_on_dev_split_max_f1,Signed Spilled Energy delta averaged over the span.
negative_mean_spilled_energy_delta,negative_mean_spilled_energy_delta,dev,dev,-5.590794,predict_positive_if_score_gte_threshold,0.598039,1.0,0.0,0.748466,0.598039,0.367853,0.614061,61,41,0,0,61,41,threshold_selected_on_dev_split_max_f1,Opposite direction of signed Spilled Energy delta for direction-sensitivity checks.
negative_mean_spilled_energy_delta,negative_mean_spilled_energy_delta,test,dev,-5.590794,predict_positive_if_score_gte_threshold,0.592233,1.0,0.0,0.743902,0.592233,0.401249,0.575688,61,42,0,0,61,42,threshold_selected_on_dev_split_max_f1,Opposite direction of signed Spilled Energy delta for direction-sensitivity checks.
mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top1,dev,dev,0.038461,predict_positive_if_score_gte_threshold,0.86,0.704918,0.829268,0.774775,0.754902,0.765894,0.862022,43,7,34,18,61,41,threshold_selected_on_dev_split_max_f1,Higher non-top1 probability mass indicates a less concentrated token distribution.
mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top1,test,dev,0.038461,predict_positive_if_score_gte_threshold,0.803922,0.672131,0.761905,0.732143,0.708738,0.744145,0.821143,41,10,32,20,61,42,threshold_selected_on_dev_split_max_f1,Higher non-top1 probability mass indicates a less concentrated token distribution.
mean_spilled_probability_mass_after_top2,mean_spilled_probability_mass_after_top2,dev,dev,0.000225,predict_positive_if_score_gte_threshold,0.735294,0.819672,0.560976,0.775194,0.715686,0.736705,0.843067,50,18,23,11,61,41,threshold_selected_on_dev_split_max_f1,Higher probability mass outside the top two choices indicates diffuse token uncertainty.
mean_spilled_probability_mass_after_top2,mean_spilled_probability_mass_after_top2,test,dev,0.000225,predict_positive_if_score_gte_threshold,0.71831,0.836066,0.52381,0.772727,0.708738,0.727557,0.807697,51,20,22,10,61,42,threshold_selected_on_dev_split_max_f1,Higher probability mass outside the top two choices indicates diffuse token uncertainty.
max_selected_step_energy_gap,max_selected_step_energy_gap,dev,dev,0.195013,predict_positive_if_score_gte_threshold,0.843137,0.704918,0.804878,0.767857,0.745098,0.745302,0.827444,43,8,33,18,61,41,threshold_selected_on_dev_split_max_f1,Maximum same-step selected-token energy gap; equivalent to a max token NLL control.
max_selected_step_energy_gap,max_selected_step_energy_gap,test,dev,0.195013,predict_positive_if_score_gte_threshold,0.82,0.672131,0.785714,0.738739,0.718447,0.759173,0.830394,41,9,33,20,61,42,threshold_selected_on_dev_split_max_f1,Maximum same-step selected-token energy gap; equivalent to a max token NLL control.
