annotation_id,question_id,prompt_id,fact_type,label,binary_label,span_text,token_count,mean_spilled_energy_delta,negative_mean_spilled_energy_delta,mean_spilled_energy_abs_delta,max_spilled_energy_abs_delta,mean_selected_step_energy_gap,max_selected_step_energy_gap,mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top2,mean_token_nll,max_token_entropy
ann_q_0001_001,q_0001,p_0001,month,correct_key_fact,0,January 2011,6,-0.797953,0.797953,3.506287,9.912718,5e-06,2.9e-05,6e-06,4e-06,6e-06,0.000412
ann_q_0001_002,q_0001,p_0001,country,correct_key_fact,0,United Kingdom,2,0.437823,-0.437823,2.187207,2.625031,0.00441,0.008789,0.00439,9.4e-05,0.00441,0.051386
ann_q_0001_003,q_0001,p_0001,country,hallucinated_key_fact,1,Spain,1,0.892475,-0.892475,0.892475,0.892475,0.508863,0.508863,0.398821,0.17766,0.508863,1.190812
ann_q_0001_004,q_0001,p_0001,currency_amount,hallucinated_key_fact,1,GBP 7178.54,9,-0.042984,0.042984,2.103066,7.975447,0.091965,0.693222,0.069791,0.00586,0.091964,0.694009
ann_q_0001_005,q_0001,p_0001,ranking,hallucinated_key_fact,1,ranking is **2nd**,6,0.617321,-0.617321,1.373672,4.199747,0.311121,0.978394,0.235323,0.126684,0.311117,2.178043
ann_q_0012_001,q_0012,p_0012,month,correct_key_fact,0,January 2011,6,-0.369545,0.369545,2.827879,7.592274,6e-06,3.6e-05,7e-06,5e-06,7e-06,0.000511
ann_q_0012_002,q_0012,p_0012,country,correct_key_fact,0,United Kingdom,2,0.772302,-0.772302,4.352763,5.125065,0.082602,0.165138,0.076144,0.002458,0.082601,0.454678
ann_q_0012_003,q_0012,p_0012,currency_amount,correct_key_fact,0,"£432,995.40",11,0.057673,-0.057673,3.169796,7.500004,0.092889,1.019182,0.058337,0.025375,0.092889,1.339111
ann_q_0012_004,q_0012,p_0012,ranking,correct_key_fact,0,ranked 1st,4,0.561554,-0.561554,0.896885,1.80155,0.499219,1.079998,0.29731,0.119216,0.499214,1.232375
ann_q_0012_005,q_0012,p_0012,percentage,unsupported_claim,1,100% gross positive revenue,7,0.153868,-0.153868,2.259836,4.660101,0.168036,0.525528,0.140079,0.073854,0.168032,1.486878
