annotation_id,question_id,prompt_id,fact_type,label,binary_label,span_text,token_count,mean_token_nll,mean_token_entropy,max_token_entropy,mean_top2_margin,min_top2_margin,one_minus_mean_top2_margin,one_minus_min_top2_margin
ann_q_0001_001,q_0001,p_0001,month,correct_key_fact,0,January 2011,6,6e-06,8.3e-05,0.000412,0.999993,0.999965,6.999999999979245e-06,3.500000000000725e-05
ann_q_0001_002,q_0001,p_0001,country,correct_key_fact,0,United Kingdom,2,0.00441,0.025887,0.051386,0.991313,0.982673,0.008687,0.01732699999999998
ann_q_0001_003,q_0001,p_0001,country,hallucinated_key_fact,1,Spain,1,0.508863,1.190812,1.190812,0.380017,0.380017,0.619983,0.619983
ann_q_0001_004,q_0001,p_0001,currency_amount,hallucinated_key_fact,1,GBP 7178.54,9,0.091964,0.14891,0.694009,0.866277,0.0,0.13372300000000004,1.0
ann_q_0001_005,q_0001,p_0001,ranking,hallucinated_key_fact,1,ranking is **2nd**,6,0.311117,0.915308,2.178043,0.656037,0.174704,0.343963,0.825296
ann_q_0012_001,q_0012,p_0012,month,correct_key_fact,0,January 2011,6,7e-06,9.9e-05,0.000511,0.999991,0.999956,9.000000000036756e-06,4.4000000000044004e-05
ann_q_0012_002,q_0012,p_0012,country,correct_key_fact,0,United Kingdom,2,0.082601,0.227716,0.454678,0.850169,0.700456,0.14983100000000005,0.29954400000000003
ann_q_0012_003,q_0012,p_0012,currency_amount,correct_key_fact,0,"£432,995.40",11,0.092889,0.124001,1.339111,0.908701,0.0,0.09129900000000002,1.0
ann_q_0012_004,q_0012,p_0012,ranking,correct_key_fact,0,ranked 1st,4,0.499214,0.988406,1.232375,0.524596,0.220304,0.47540400000000005,0.779696
ann_q_0012_005,q_0012,p_0012,percentage,unsupported_claim,1,100% gross positive revenue,7,0.168032,0.56832,1.486878,0.793696,0.311962,0.20630400000000004,0.6880379999999999
ann_q_0012_006,q_0012,p_0012,currency_amount,hallucinated_key_fact,1,£0.00,5,0.294282,0.551114,0.798342,0.559576,0.0,0.44042400000000004,1.0
ann_q_0047_001,q_0047,p_0047,month,correct_key_fact,0,July 2011,6,4.5e-05,0.000512,0.00299,0.999936,0.999624,6.399999999995298e-05,0.00037600000000004297
ann_q_0047_002,q_0047,p_0047,comparison_direction,hallucinated_key_fact,1,the Netherlands generated more net revenue,6,0.122121,0.278804,0.877312,0.816572,0.177251,0.18342800000000004,0.822749
ann_q_0047_003,q_0047,p_0047,currency_amount,correct_key_fact,0,26.02 GBP,6,0.007766,0.054653,0.173386,0.990316,0.969291,0.009684000000000026,0.030708999999999986
ann_q_0047_004,q_0047,p_0047,country,correct_key_fact,0,EIRE,2,0.204846,0.51334,0.600885,0.649019,0.507081,0.350981,0.492919
ann_q_0047_005,q_0047,p_0047,currency_amount,correct_key_fact,0,42689.65 GBP,9,0.002067,0.011336,0.097207,0.996169,0.96608,0.003831000000000029,0.03391999999999995
ann_q_0047_006,q_0047,p_0047,currency_amount,hallucinated_key_fact,1,The Netherlands' net revenue was 0.00 GBP,12,0.257322,0.55398,1.707712,0.715936,0.144153,0.284064,0.855847
ann_q_0047_007,q_0047,p_0047,currency_amount,correct_key_fact,0,EIRE's was 42689.65 GBP,14,0.082572,0.212684,1.098467,0.885147,0.113944,0.11485299999999998,0.886056
ann_q_0047_008,q_0047,p_0047,currency_amount,hallucinated_key_fact,1,1.00 GBP,5,0.758574,1.100974,2.197358,0.53078,0.077713,0.46921999999999997,0.922287
ann_q_0047_009,q_0047,p_0047,comparison_direction,correct_key_fact,0,less than EIRE,4,0.059277,0.281119,0.814648,0.919605,0.763976,0.080395,0.236024
ann_q_0017_001,q_0017,p_0017,month,correct_key_fact,0,December 2010,6,1.2e-05,0.000154,0.000846,0.999983,0.999905,1.7000000000044757e-05,9.499999999995623e-05
ann_q_0017_002,q_0017,p_0017,product_name,hallucinated_key_fact,1,CHILLI LIGHTS,5,0.335271,0.59048,1.795437,0.652065,0.056846,0.347935,0.943154
ann_q_0017_003,q_0017,p_0017,currency_amount,hallucinated_key_fact,1,GBP 7506.44,9,0.044831,0.129504,0.699937,0.923046,0.538334,0.07695399999999997,0.461666
ann_q_0017_004,q_0017,p_0017,ranking,hallucinated_key_fact,1,ranking is 1,4,0.330683,0.929095,1.375842,0.602726,0.223313,0.397274,0.776687
ann_q_0017_005,q_0017,p_0017,product_stock_code,hallucinated_key_fact,1,79321,5,0.005421,0.025752,0.128661,0.989464,0.94733,0.01053599999999999,0.052669999999999995
ann_q_0017_006,q_0017,p_0017,product_name,hallucinated_key_fact,1,CHILLI LIGHTS,5,0.000168,0.001649,0.005369,0.999697,0.998843,0.0003030000000000532,0.0011569999999999636
ann_q_0100_001,q_0100,p_0100,month,correct_key_fact,0,November 2011,6,0.000105,0.000974,0.005814,0.999814,0.998887,0.00018600000000001948,0.0011130000000000306
ann_q_0100_002,q_0100,p_0100,business_definition,correct_key_fact,0,cancellations and returns reduced gross positive revenue,8,0.006926,0.045372,0.177086,0.989188,0.960095,0.010812000000000044,0.03990499999999997
ann_q_0100_003,q_0100,p_0100,currency_amount,correct_key_fact,0,"GBP 47,720.98",11,0.088707,0.191398,1.157635,0.88552,0.193528,0.11448000000000003,0.806472
ann_q_0100_004,q_0100,p_0100,malformed_number,hallucinated_key_fact,1,"GBP 145,6145.80",13,0.089308,0.174202,0.835559,0.85857,0.285197,0.14142999999999994,0.7148030000000001
ann_q_0100_005,q_0100,p_0100,business_definition,correct_key_fact,0,positive amount,2,0.19158,0.452135,0.871483,0.713442,0.432528,0.286558,0.567472
ann_q_0100_006,q_0100,p_0100,business_definition,correct_key_fact,0,negative cancellation_return_revenue,5,0.163875,0.387887,1.196185,0.778684,0.407075,0.22131599999999996,0.5929249999999999
ann_q_0022_001,q_0022,p_0022,month,correct_key_fact,0,May 2011,6,1.2e-05,0.000164,0.000814,0.999983,0.999922,1.7000000000044757e-05,7.80000000000225e-05
ann_q_0022_002,q_0022,p_0022,product_name,hallucinated_key_fact,1,SPOTTY BUNTING,6,0.099065,0.261639,1.54012,0.898167,0.395223,0.10183299999999995,0.604777
ann_q_0022_003,q_0022,p_0022,product_stock_code,hallucinated_key_fact,1,22298,5,0.405006,0.299815,0.879369,0.693723,0.059828,0.306277,0.940172
ann_q_0022_004,q_0022,p_0022,currency_amount,hallucinated_key_fact,1,"GBP 7,513.92",10,0.123363,0.15978,0.664788,0.882714,0.244877,0.117286,0.755123
ann_q_0022_005,q_0022,p_0022,ranking,hallucinated_key_fact,1,ranking is 1st,5,0.527742,1.183992,1.413013,0.4023,0.046175,0.5977,0.953825
ann_q_0030_001,q_0030,p_0030,month,correct_key_fact,0,January 2011,6,3.9e-05,0.000445,0.002582,0.99994,0.999647,5.999999999994898e-05,0.0003530000000000477
ann_q_0030_002,q_0030,p_0030,comparison_direction,hallucinated_key_fact,1,Germany generated more net revenue,5,0.199297,0.356342,1.068096,0.756702,0.098126,0.24329800000000001,0.901874
ann_q_0030_003,q_0030,p_0030,currency_amount,hallucinated_key_fact,1,16421.43 GBP,9,0.302724,0.695878,1.995473,0.692686,0.03895,0.307314,0.96105
ann_q_0030_004,q_0030,p_0030,currency_amount,correct_key_fact,0,16421.43 GBP,9,0.082997,0.251845,1.293273,0.884078,0.355144,0.11592199999999997,0.644856
ann_q_0030_005,q_0030,p_0030,currency_amount,correct_key_fact,0,17503.07 GBP,9,0.000312,0.002709,0.017226,0.999444,0.995865,0.0005560000000000009,0.004135
ann_q_0050_001,q_0050,p_0050,comparison_direction,correct_key_fact,0,decreased,1,1.375116,1.3902,1.3902,0.164003,0.164003,0.835997,0.835997
ann_q_0050_002,q_0050,p_0050,currency_amount,correct_key_fact,0,"GBP 558,448.56",12,0.142905,0.147906,1.463977,0.928751,0.268836,0.071249,0.7311639999999999
ann_q_0050_003,q_0050,p_0050,month,correct_key_fact,0,January 2011,6,0.001354,0.009482,0.052461,0.997991,0.988804,0.0020090000000000385,0.011195999999999984
ann_q_0050_004,q_0050,p_0050,currency_amount,correct_key_fact,0,"GBP 497,026.41",12,3.6e-05,0.000407,0.004339,0.999949,0.999446,5.100000000002325e-05,0.0005540000000000544
ann_q_0050_005,q_0050,p_0050,month,correct_key_fact,0,February 2011,6,9e-06,0.000119,0.000422,0.999986,0.99995,1.399999999995849e-05,4.999999999999449e-05
ann_q_0050_006,q_0050,p_0050,currency_amount,hallucinated_key_fact,1,"GBP 62,422.15",11,0.146397,0.432948,1.853686,0.82174,0.383682,0.17825999999999997,0.6163179999999999
ann_q_0050_007,q_0050,p_0050,percentage,hallucinated_key_fact,1,-12.06%,7,0.860108,1.031985,2.290304,0.48937,0.053269,0.5106299999999999,0.946731
ann_q_0052_001,q_0052,p_0052,comparison_direction,correct_key_fact,0,decreased,1,1.430181,1.432086,1.432086,0.123359,0.123359,0.876641,0.876641
ann_q_0052_002,q_0052,p_0052,currency_amount,correct_key_fact,0,"682,013.98 GBP",11,0.040155,0.085652,0.645132,0.932984,0.3576,0.06701599999999996,0.6424000000000001
ann_q_0052_003,q_0052,p_0052,month,correct_key_fact,0,March 2011,6,0.001818,0.013155,0.060502,0.99718,0.988121,0.0028200000000000447,0.011878999999999973
ann_q_0052_004,q_0052,p_0052,currency_amount,correct_key_fact,0,"492,367.84 GBP",11,7e-06,9.1e-05,0.00032,0.999989,0.999958,1.0999999999983245e-05,4.199999999998649e-05
ann_q_0052_005,q_0052,p_0052,month,correct_key_fact,0,April 2011,6,2e-06,3.2e-05,0.00011,0.999997,0.999991,2.9999999999752447e-06,9.000000000036756e-06
ann_q_0052_006,q_0052,p_0052,currency_amount,hallucinated_key_fact,1,"190,646.14 GBP",11,0.122034,0.235464,0.825841,0.870844,0.184558,0.12915600000000005,0.815442
ann_q_0052_007,q_0052,p_0052,percentage,correct_key_fact,0,27.8%,5,0.462241,0.730612,1.994314,0.620745,0.262512,0.379255,0.7374879999999999
ann_q_0073_001,q_0073,p_0073,month,correct_key_fact,0,January 2011,6,9e-06,0.000123,0.000517,0.999988,0.999953,1.2000000000012001e-05,4.700000000001925e-05
ann_q_0073_002,q_0073,p_0073,product_name,hallucinated_key_fact,1,DOORMAT FAIRY CAKE,7,0.035845,0.157545,1.083136,0.954696,0.686634,0.04530400000000001,0.31336600000000003
ann_q_0073_003,q_0073,p_0073,currency_amount,hallucinated_key_fact,1,5206.23 GBP,8,0.001902,0.013274,0.088318,0.997256,0.981722,0.0027439999999999687,0.018278000000000016
ann_q_0073_004,q_0073,p_0073,percentage,hallucinated_key_fact,1,100%,4,0.145131,0.308896,0.86311,0.772856,0.289646,0.227144,0.7103539999999999
ann_q_0073_005,q_0073,p_0073,currency_amount,correct_key_fact,0,"578,914.41 GBP",11,0.000305,0.002405,0.012723,0.999415,0.996585,0.0005849999999999467,0.003414999999999946
ann_q_0073_006,q_0073,p_0073,percentage,hallucinated_key_fact,1,100%,4,0.004078,0.029172,0.059637,0.993441,0.986941,0.0065589999999999815,0.013059000000000043
ann_q_0084_001,q_0084,p_0084,month,correct_key_fact,0,January 2011,6,9e-06,0.000125,0.000486,0.999988,0.999957,1.2000000000012001e-05,4.300000000001525e-05
ann_q_0084_002,q_0084,p_0084,currency_amount,hallucinated_key_fact,1,GBP 5209.79,9,0.192262,0.330342,1.422108,0.854925,0.165258,0.14507499999999995,0.834742
ann_q_0084_003,q_0084,p_0084,currency_amount,hallucinated_key_fact,1,GBP 5580.98,9,0.000936,0.006354,0.048961,0.998284,0.985695,0.0017160000000000508,0.014305000000000012
ann_q_0084_004,q_0084,p_0084,currency_amount,hallucinated_key_fact,1,GBP 5133.77,9,0.001047,0.007111,0.032788,0.99798,0.990464,0.0020200000000000218,0.009535999999999989
ann_q_0084_005,q_0084,p_0084,currency_amount,hallucinated_key_fact,1,"GBP 15,924.54",11,0.046579,0.117722,0.577657,0.919791,0.508479,0.08020899999999997,0.491521
ann_q_0084_006,q_0084,p_0084,currency_amount,correct_key_fact,0,"GBP 578,914.41",12,9.4e-05,0.000925,0.009899,0.999865,0.998531,0.00013499999999999623,0.0014690000000000536
ann_q_0084_007,q_0084,p_0084,percentage,hallucinated_key_fact,1,27.5%,5,0.487379,0.667913,1.849683,0.73477,0.060684,0.26522999999999997,0.939316
ann_q_0089_001,q_0089,p_0089,month,correct_key_fact,0,December 2010,6,0.00018,0.001606,0.009615,0.999686,0.998115,0.00031400000000003647,0.0018850000000000255
ann_q_0089_002,q_0089,p_0089,business_definition,correct_key_fact,0,cancellations and returns reduced gross positive revenue,8,0.00557,0.037851,0.141002,0.991271,0.970578,0.008728999999999987,0.029421999999999948
ann_q_0089_003,q_0089,p_0089,currency_amount,correct_key_fact,0,"GBP 74,729.12",11,0.090705,0.15811,1.185389,0.895975,0.093361,0.10402500000000003,0.906639
ann_q_0089_004,q_0089,p_0089,currency_amount,correct_key_fact,0,"GBP 746,723.61",12,0.004535,0.024122,0.149601,0.991402,0.939471,0.008597999999999995,0.060529000000000055
ann_q_0089_005,q_0089,p_0089,business_definition,correct_key_fact,0,positive amount,2,0.18778,0.438292,0.844898,0.714967,0.435823,0.285033,0.5641769999999999
ann_q_0089_006,q_0089,p_0089,business_definition,correct_key_fact,0,negative cancellation_return_revenue,5,0.175365,0.373683,1.081313,0.756437,0.242281,0.24356299999999997,0.757719
ann_q_0016_001,q_0016,p_0016,country,correct_key_fact,0,United Kingdom,2,0.235267,0.46886,0.937472,0.664785,0.329603,0.33521500000000004,0.670397
ann_q_0016_002,q_0016,p_0016,month,correct_key_fact,0,November 2011,6,1.1e-05,0.000156,0.000732,0.999985,0.999933,1.4999999999987246e-05,6.700000000003925e-05
ann_q_0016_003,q_0016,p_0016,currency_amount,correct_key_fact,0,"£1,277,409.79",13,0.070625,0.106932,1.165575,0.914689,0.0,0.08531100000000003,1.0
ann_q_0016_004,q_0016,p_0016,currency_amount,correct_key_fact,0,"£1,319,934.07",13,0.000157,0.001437,0.00922,0.99971,0.997651,0.00029000000000001247,0.0023490000000000455
ann_q_0016_005,q_0016,p_0016,currency_amount,correct_key_fact,0,"£-42,524.28",11,0.125035,0.182797,0.686295,0.802338,0.124344,0.197662,0.875656
ann_q_0016_006,q_0016,p_0016,ranking,correct_key_fact,0,ranking is 1,4,0.283694,1.014229,1.64973,0.678567,0.431488,0.32143299999999997,0.568512
ann_q_0029_001,q_0029,p_0029,date_range,correct_key_fact,0,December 2011 through December 9,10,0.034045,0.087048,0.830557,0.950415,0.509719,0.04958499999999999,0.49028099999999997
ann_q_0029_002,q_0029,p_0029,product_name,hallucinated_key_fact,1,REGENCY CAKESTAND 3 TIER,10,0.094511,0.181841,1.81163,0.922583,0.226762,0.07741699999999996,0.773238
ann_q_0029_003,q_0029,p_0029,currency_amount,hallucinated_key_fact,1,GBP 5890.17,9,0.040854,0.133518,0.611643,0.93105,0.669657,0.06894999999999996,0.33034300000000005
ann_q_0029_004,q_0029,p_0029,ranking,hallucinated_key_fact,1,ranking is **1**,5,0.583505,1.252222,2.42334,0.434863,0.053848,0.565137,0.946152
ann_q_0041_001,q_0041,p_0041,month,correct_key_fact,0,January 2011,6,1.8e-05,0.000224,0.001282,0.999975,0.999856,2.5000000000052758e-05,0.000144000000000033
ann_q_0041_002,q_0041,p_0041,comparison_direction,correct_key_fact,0,the Netherlands generated more net revenue,6,0.053685,0.204438,0.438417,0.906462,0.781268,0.09353800000000001,0.21873200000000004
ann_q_0041_003,q_0041,p_0041,currency_amount,hallucinated_key_fact,1,"GBP 5,044.64",10,0.220869,0.57793,1.709117,0.738992,0.161382,0.261008,0.838618
ann_q_0060_001,q_0060,p_0060,month,correct_key_fact,0,December 2010,6,1.1e-05,0.000147,0.000773,0.999985,0.999917,1.4999999999987246e-05,8.300000000005525e-05
ann_q_0060_002,q_0060,p_0060,ranking,hallucinated_key_fact,1,1.,2,0.097459,0.264394,0.525284,0.830223,0.661099,0.16977699999999996,0.338901
ann_q_0060_003,q_0060,p_0060,product_name,hallucinated_key_fact,1,WHITE SKULL HOT WATER BOTTLE,8,0.034486,0.125305,0.785478,0.948036,0.673452,0.05196400000000001,0.32654799999999995
ann_q_0060_004,q_0060,p_0060,currency_amount,hallucinated_key_fact,1,"GBP 8,224.98",10,0.128716,0.207215,1.222222,0.833829,0.062411,0.16617099999999996,0.937589
ann_q_0060_005,q_0060,p_0060,ranking,hallucinated_key_fact,1,2.,2,3e-06,4.7e-05,8.5e-05,0.999995,0.999991,5.000000000032756e-06,9.000000000036756e-06
ann_q_0060_006,q_0060,p_0060,product_name,hallucinated_key_fact,1,CHILLI LIGHTS,5,0.040217,0.136418,0.675674,0.941338,0.707589,0.05866199999999999,0.292411
ann_q_0060_007,q_0060,p_0060,currency_amount,hallucinated_key_fact,1,"GBP 7,506.44",10,5e-06,6e-05,0.000364,0.999992,0.999945,8.000000000008e-06,5.500000000002725e-05
ann_q_0060_008,q_0060,p_0060,ranking,correct_key_fact,0,3.,2,3e-06,5.6e-05,9.3e-05,0.999995,0.999991,5.000000000032756e-06,9.000000000036756e-06
ann_q_0060_009,q_0060,p_0060,product_name,correct_key_fact,0,PAPER CHAIN KIT 50'S CHRISTMAS,12,0.002766,0.016533,0.128818,0.994944,0.956265,0.005055999999999949,0.04373499999999997
ann_q_0060_010,q_0060,p_0060,currency_amount,correct_key_fact,0,"GBP 9,187.45",10,4e-06,5.6e-05,0.000182,0.999993,0.999977,6.999999999979245e-06,2.2999999999995246e-05
ann_q_0057_001,q_0057,p_0057,month,correct_key_fact,0,August 2011,6,0.08627,0.169173,1.006919,0.885569,0.314704,0.11443099999999995,0.685296
ann_q_0057_002,q_0057,p_0057,currency_amount,correct_key_fact,0,"£703,510.58",11,0.077734,0.123255,1.338591,0.9268,0.197987,0.07320000000000004,0.802013
ann_q_0057_003,q_0057,p_0057,month,correct_key_fact,0,September 2011,6,1.5e-05,0.000187,0.000922,0.999973,0.999862,2.6999999999999247e-05,0.00013799999999997148
ann_q_0057_004,q_0057,p_0057,currency_amount,correct_key_fact,0,"£1,017,596.68",13,3.1e-05,0.000349,0.002018,0.999945,0.999587,5.500000000002725e-05,0.0004129999999999967
ann_q_0057_005,q_0057,p_0057,currency_amount,correct_key_fact,0,"£314,086.10",11,0.016885,0.078746,0.388322,0.971481,0.817153,0.02851899999999996,0.18284699999999998
ann_q_0057_006,q_0057,p_0057,percentage,hallucinated_key_fact,1,43.4%,5,0.756931,1.232626,2.298537,0.483624,0.015484,0.516376,0.984516
ann_q_0065_001,q_0065,p_0065,month,correct_key_fact,0,May 2011,6,1.5e-05,0.00019,0.000972,0.99998,0.999899,2.0000000000020002e-05,0.00010100000000001774
